p	h	t
arguicao	Afirmação	Jurídico. Afirmação fundamentada; exposição de argumentos que se opõem a; menção de razões e fundamentos para provar ou defender algo ou alguém.
arguicao	ação	Exprobração; ação de repreender, censurar e acusar algo ou alguém.
arguicao	exame	Teste oral; questionário ou exame feito oralmente: arguição oral.
argumentacao	Ato	s.f. Ato ou arte de argumentar.
argumentacao	Conjunto	Conjunto de argumentos.
argumento	Prova	s.m. Prova que serve para afirmar ou negar um fato: argumento válido.
argumento	Sumário	Sumário de um livro, de uma peça de teatro etc.
aridez	Qualidade	Qualidade do que não é fértil; que é infértil; esterilidade ou infertilidade: a aridez do solo.
ariete	Máquina	s.m. Máquina de guerra usada na Antiguidade e na Idade Média para abrir brechas em muralhas ou portões de castelos e povoações fortificadas.  Os assírios empregaram-no com muita perícia. Alexandre, o Grande, usou-o em suas conquistas.
ariranha	Mustelídeo	sf (tupi arerãia) Zool Mustelídeo carnívoro que habita os grandes rios, de pêlo macio e cinzento e maior que a lontra, a que se assemelha (Pteronura brasiliensis). Voz: regouga.
aristocracia	Organização	s.f. Organização sociopolítica que, se baseando nos privilégios de uma classe social, é composta por pessoas nobres que monopolizam o poder, normalmente, garantido por herança.
aristocracia	reunião	A reunião de pessoas nobres que detém esse poder e/ou privilégios; nobreza ou fidalguia.
aristocracia	Classe	Figurado. Classe de pessoas que se distinguem pelo excesso de conhecimento ou por mérito; em que há superioridade ou distinção; nata ou casta.
aritmetica	Ciência	s.f. Ciência que estuda as propriedades elementares dos números racionais.
aritmetica	Livro	Livro que contém os princípios da aritmética: comprar uma aritmética. (Var.: arimética.)
arlequim	Personagem	sm (ital arlecchino) 1 Personagem que, na comédia italiana, usava roupa feita de retalhos triangulares de várias cores. 2 Bufão, farsante, palhaço. 3 Entom Grande besouro dos Cerambicídeos (Acrocinus longimanus); arlequim-da-mata. 4 Canário originado do cruzamento de um do reino com um da terra. 5 Miner Opala de várias cores. 6 Indivíduo que muda de opinião a cada instante; cata-vento. 7 Personagem do auto popular do bumba-meu-boi. 8 Brigão, valentão. 9 Mistura de várias bebidas, que servem nos cafés ordinários. adj Zool V arlequíneo.
arma	Instrumento	s.f. Instrumento que serve para atacar ou defender.
arma	Profissão	S.f.pl. Profissão militar: criado para as armas.
arma	Emblemas	Emblemas figurados nos escudos: as armas da cidade do Rio de Janeiro.
arma	Recursos,	Fig. Recursos, expedientes, meios: as armas da prudência.
armacao	Ato	s.f. Ato ou efeito de armar, no sentido de preparar, dispor, ornar, construir, equipar.
armacao	Madeiramento	Madeiramento que sustenta o telhado de um edifício; tesoura, asna.
armacao	guarnições	Panos e guarnições com que se cobrem e adornam as paredes, salas etc.
armada	Grupamento	s.f. Grupamento de navios armados maior que uma frota ou uma esquadra.  No Brasil, o termo designa a totalidade dos navios pertencentes ao Estado incorporados à Marinha de Guerra. Tradicionalmente, contudo, quase sempre se refere à esquadra espanhola que tentou, sem sucesso, invadir a Inglaterra em 1588. V. ARMADA (Invencível).
armadilha	Engenho	s.f. Engenho para atrair e prender certos animais.
armadilha	Artifício	Fig. Artifício traiçoeiro de que alguém se serve para enganar outrem: cair em uma armadilha. (Sin.: cilada, emboscada, ratoeira.)
armadura	Madeiramento	s.f. Madeiramento que sustenta a parte essencial de uma obra de alvenaria ou de carpintaria; armação.
armadura	Reunião	Música. Reunião dos sustenidos ou dos bemóis junto à clave para indicar o tom em que deve ser executada a peça.
armadura	Conjunto	Conjunto das defesas metálicas (couraça, capacete etc.) que protegiam o corpo do guerreiro do séc. XIV ao séc. XVII.
armamento	Ação	s.m. Ação de armar, preparativos de guerra: redução dos armamentos.
armamento	Conjunto	Conjunto das armas: o armamento de um batalhão.
armamento	Ação	Ação de aparelhar um navio do que lhe é necessário para navegar.
armarinho	Casa	s.m. Casa comercial que vende artigos para costura, tecidos etc.
armarinho	Armário	Armário pequeno.
armario	Móvel	s.m. Móvel em forma de caixa alta, com prateleiras, que serve para guardar roupas, louças, papéis etc., às vezes com espelho.
armazem	Lugar,	s.f. Lugar, depósito onde se guardam mercadorias por tempo limitado.
armazem	Estabelecimento	Estabelecimento de secos e molhados, venda.
armento	Rebanho	s.m. Rebanho de gado vacum.
arminho	Tira	s.m. Tira de arminho usada nos trajes de cerimônia de certos professores e magistrados.
arminho	Pompom	Pompom com que as mulheres passam pó-de-arroz no rosto.
arminho	peles	Heráld. Uma das peles heráldicas, representada por um campo de prata semeado de mosquetes ou pontos negros.
armisticio	Convenção	s.m. Convenção pela qual os beligerantes suspendem as hostilidades sem pôr fim ao estado de guerra.
aro	anel,	s.m. Cada uma das peças de metal em forma de anel, ou presas pela extremidade, que formam uma corrente.
aro	círculo	Pequeno círculo de metal ou madeira.
aro	Círculo	Círculo metálico que envolve uma roda de veículo.
aro	Círculo	Círculo metálico a que se adapta o pneumático dos veículos automóveis.
arpao	Instrumento	s.m. Instrumento de pesca, espécie de dardo, munido de cabo com ponta farpada e afiada, que serve para fisgar e prender peixes grandes, sendo muito usado na pesca da baleia.
arpao	Gancho	Gancho de ferro que se arremessa para prender uma embarcação a outra, facilitando a abordagem, ou para atracação.
arpeu	Gancho	Gancho de ferro usado nas abordagens de navios inimigos.
arpeu	Anzol	Anzol de três fisgas, também chamado garatéia.
arpeu	Gancho	Mecânica  Gancho de ferro fixado na extremidade de uma haste comprida e grossa.
arpeu	Conjunto	Conjunto de ganchos para apanha e deslocamento de materiais diversos.
arqueiro	Soldado	s.m. Soldado armado de arco, frecheiro.
arquetipo	modelo	s.m. O modelo que se utiliza como exemplo para; padrão: a Madre Teresa de Caucutá é o arquétipo da bondade.
arquetipo	padrão	P.ext. Todo e qualquer tipo de padrão ou modelo; paradigma.
arquetipo	Modelo	P.ext. Modelo caracterizado por sua perfeição, excelência e superioridade.
arquetipo	Ideia	Filosofia. Platão. Ideia ou modelo originário utilizado como padrão (origem e princípio) para se explicar os objetos sensíveis.
arquetipo	Designação	Teologia. Designação atribuída ao criador do universo, dos seres e todas as coisas; Deus.
arquibancada	Conjunto	s.f. Conjunto de bancadas em anfiteatro, circo ou estádio.
arquibancada	lugar	O lugar onde se assenta o espectador na bancada.
arquidiocese	Diocese	s.f. Diocese de um arcebispo.
arquipelago	mar	s.m. palavra grega que significa mar principal. Aplica-se, hoje em dia, a qualquer extensão de água contendo ilhas e, frequentemente, às próprias ilhas.
arquitetura	Arte	s.f. Arte de construir e decorar os edifícios.
arquitetura	Forma,	Fig. Forma, estrutura: arquitetura do corpo humano.
arquitrave	Parte	s.f. Arquitetura. Parte inferior e principal do entablamento.
arquivamento	Ação	s.m. Ação ou efeito de arquivar; arquivação.
arquivamento	Ato	Ato de guardar algo (papel, documento, contas, pagamentos etc) que se encontra fora do prazo de vigência e/ou validade para possíveis comprovações.
arquivamento	Ação	Ação de guardar ordenadamente alguma coisa para que a mesma seja facilmente encontrada.
arquivamento	Ação	Jurídico. Ação de registrar (alguma coisa) para que haja relevância jurídica.
arquivista	Pessoa	s.m. e s.f. Pessoa encarregada dos arquivos.
arquivo	Conjunto	s.m. Conjunto de documentos, como papéis oficiais, impressos, manuscritos, cartas e fotografias sobre determinado assunto.  Os arquivos existem desde a invenção da escrita, na Antiguidade. Egípcios, assírios, persas, gregos e romanos possuíram arquivos. Na Europa, foi sobretudo a partir da Idade Média que se organizaram os grandes arquivos nacionais. Devido ao grande número de documentos acumulados no passado e a produção cada vez maior de novos documentos, foi-se aperfeiçoando a arquivologia, que é o conjunto de técnicas de organização e manipulação de arquivos, os Estados Unidos e a ex-União Soviética, que atualmente possuem os mais completos arquivos nacionais do mundo, somente começaram a organizá-los no princípio deste século.
arrabalde	periferia	s.m. Que se encontra localizado na periferia de uma cidade; fora dos limites de uma cidade; subúrbio.
arrabalde	Local	P.ext. Local extremamente afastado do cento (cidade, bairro etc); arredor.
arraial	Lugar	s.m. Lugar pequeno e temporário; povoado ou lugarejo.
arraial	Lugar	Lugar em que festas populares são realizadas.
arraial	Decoração	Decoração e cenário feitos de maneira a imitar as antigas vilas do interior, para festas juninas.
arraial	Instalação	Instalação de tropas militares em barracas; acampamento utilizado por militares.
arraial	Povoamento	Povoamento provisório de romeiros em que há jogos, diversões, comercialização de comida etc.
arraial	Lugarejo	Lugarejo temporário em que determinados trabalhadores desenvolvem atividades de extração, geralmente, relacionadas com o garimpo, a mineração etc.
arraial	Povoação	Povoação pequena e menor que uma vila; lugarejo.
arraial	Aldeia	Aldeia de pescadores.
arraial	Local	Local destinado ao desenvolvimento de alguma atividade.
arranha-ceu	Prédio	s.m. Prédio ou edifício que possui muitos andares e que se destaca por ser muito alto.
arranhao	Ferida	s.m. Ferida superficial na pele feita com as unhas ou a ponta aguda ou áspera de um objeto.
arranjo	disposição,	s.m. Concerto, boa disposição, ordem.
arranjo	utensílios,	Mobília, utensílios, louças, prata.
arranjo	Conciliação,	Fam. Conciliação, acordo.
arranque	Ação	s.m. Ação ou efeito de arrancar, de puxar.
arranque	Ato	Ato de partir com ímpeto (o touro ou o toureiro).
arranque	Peça	Peça de automóvel com que se põe o motor em movimento.
arrastao	Esforço	s.m. Esforço violento para arrastar.
arrastao	rede	Grande rede de pesca à beira-mar ou que as traineiras arrastam pelo fundo da água.
arrebatamento	Ação	s.m. Ação ou efeito de arrebatar(-se).
arrebatamento	Estado	Estado de espírito caracterizado pela alegria, pela admiração.
arrebatamento	Característica	Característica ou conduta de impetuoso ou de impulsivo.
arrebatamento	Sentimento	Sentimento de êxtase, de enlevo.
arrebatamento	Sensação	Sensação de exaltação, ímpeto ou fúria.
arrebentacao	Ato	s.f. Ato de arrebentar.
arrebentacao	ondas	Marulho das ondas do mar batendo na praia ou num recife.
arrebentacao	Ato	Ato de as plantas lançarem os ramos ou rebentos.
arrebol	Cor	s.m. Cor avermelhada das nuvens quando nasce ou se põe o sol.
arrecadacao	Ato	s.f. Ato de arrecadar.
arrecadacao	Lugar	Lugar onde se arrecada ou guarda; depósito.
arrecadacao	Cobrança:	Cobrança: arrecadação de impostos.
arrefecimento	Ação	s.m. Ação ou efeito de arrefecer(-se).
arrefecimento	Diminuição	Diminuição observada na temperatura de; desaparecimento do calor; esfriamento.
arrefecimento	Ausência	Figurado. Ausência de forças; perda do ânimo; desanimação.
arreio	Conjunto	s.m. Conjunto de peças com que se aparelham os cavalos de sela ou de tiro.  Os arreios compreendem a coelheira, os freios, as rédeas e as correias pelas quais os animais são presos a carroças e outros veículos. Quase todas as peças dos arreios são feitas de couro, presas por fivelas e grampos de metal. As peças usadas para arrear um cavalo aparecem no diagrama abaixo. São elas:
arremate	Ato	s.m. Ato ou efeito de arrematar.
arremedo	Imitação;	s.m. Imitação; ação de arremedar, de tentar imitar ou de reproduzir alguma coisa.
arremedo	imitação	Cópia; imitação malfeita ou deficiente.
arremedo	Circunstância,	Circunstância, fato ou pessoa inverídica e falsa.
arremedo	Imitação	P.ext. Imitação excessiva ou caricatural que busca ridicularizar alguma coisa por meio do excesso e da deformação.
arremedo	Ação	Ação ou efeito de arremedar, de imitar.
arremetida	Ação	Ação de assaltar, de arremeter.
arremetida	Acometimento.	Acometimento.
arremetida	Entrada	Entrada violenta e súbita.
arremetida	Ato	Ato arrojado.
arrendatario	pessoa	s.m. Aquele que arrenda (alguma coisa); pessoa que toma um imóvel em arrendamento; inquilino.
arrependimento	Ação	s.m. Ação ou efeito de arrepender-se.
arrependimento	Remorso	Remorso ou mágoa por se ter cometido um mal; contrição: era o arrependimento por ter cometido aquele crime que o atormentava.
arrependimento	Ação	Ação de mudar de opinião ou de comportamento em relação ao que já aconteceu: o arrependimento de não ter viajado.
arrependimento	Sentimento	Religião. Judaísmo e Cristianismo. Sentimento de contrição ou rejeição, demonstrado pelo pecador, em relação aos seus pecados, fazendo com este pratique o bem para conseguir sua remissão.
arrepio	estremecimentos	Série de estremecimentos musculares rápidos e involuntários que contribuem para a luta do organismo contra o resfriamento: a febre é frequentemente precedida de arrepios.
arrepio	Estremecimento	Estremecimento que resulta do medo ou de uma emoção violenta: arrepio de pavor.
arresto	Apreensão	s.m. Apreensão judicial dos bens de um devedor, necessários à garantia de uma dívida, cuja cobrança foi ou vai ser ajuizada; embargo.
arribacao	Ato	s.f. Ato de arribar; arribada.
arribacao	Comida	Bras. Comida preparada com feijão, arroz e pombas-de-arribação secas.
arriel	Barra	sm (a+cast riel)  Barra de prata. 2 Argola ou anel de ouro.
arrimo	Encosto,	s.m. Encosto, amparo, proteção; tudo que se utiliza para dar apoio ou suporte a alguma coisa: cerca de arrimo.
arrimo	Pessoa	Figurado. Pessoa que está disposta a ajudar ou dar apoio a alguém.
arrimo	Pessoa	Arrimo de família. Pessoa responsável pelo sustento de uma família.
arriosca	jogo	sf 1 Certo jogo de pedrinhas redondas que se colhem na areia à beira dos rios; arriol, arriós. 2 Cilada, engano, esparrela, falcatrua, logro. Var: arriola.
arritmia	Palpitação;	s.f. Palpitação; alteração anormal do ritmo e da velocidade dos batimentos cardíacos, dando a sensação de que o coração deixou de dar uma batida: arritmia cardíaca.
arritmia	alteração	Falta de regularidade e de constância do ritmo; alteração ou variação do ritmo.
arrivista	Pessoa	s.m. e s.f. Pessoa ambiciosa e que quer ter bom êxito a todo custo.
arroba	Medida	s.f. Medida antiga de capacidade para os líquidos, equivalente a 16 litros.
arrocho	pau	s.m. Pedaço de pau curto e torto com que se apertam e torcem as cordas para amarrar fardos, cargas etc.
arrocho	Ação	Ação de arrochar.
arrocho	Pau	Pau com que se espanca.
arrocho	Aparelho	Aparelho para espremer a massa da mandioca.
arrocho	Cabos	S.m.pl. Náutica  Cabos com nós nas pontas.
arrogancia	Atitude	s.f. Atitude altaneira; altivez; orgulho; insolência: ele mostra arrogância no trato.
arroio	canal	s.m. Nos países tropicais, canal natural ou artificial, que liga cursos de água.
arroio	Córrego;	Córrego; riacho.
arroto	Emissão	s.m. Emissão sonora, pela boca, de gases estomacais; eructação.
arroz	Planta	s.m. Botânica. Planta da família das gramíneas, cujo grão constitui excelente alimento.
arroz	grão	O grão dessa planta.
arroz	prato	Qualquer prato preparado com tais grãos.
arrozal	Campo	s.m. Campo semeado de arroz; arrozeira.
arruaca	Desordem	s.f. Desordem nas ruas, motim, assuada.
arruela	anel	s.f. Espécie de anel ou aro de ferro que se mete no parafuso para que a porca não desgaste a peça.
arruela	Pedaço	Ourivesaria  Pedaço de prata redondo, que se obtém vazando a pedra fundida no tijolo.
arruela	Anel	Naút. Anel de ferro que se enfia na ponta da cavilha e sobre o qual esta se rebate.
arrufo	Ação	s.m. Ação ou efeito de arrifar (irritar) ou arrifar-se; zangar-se.
arrufo	Mágoa	Mágoa ou zanga passageira entre pessoas que se gostam, geralmente, entre namorados.
arrumacao	Ação	s.f. Ação ou efeito de arrumar.
arrumacao	Arranjo,	Arranjo, boa disposição.
arrumacao	Escrituração	Escrituração regular dos livros.
arrumacao	Rumo,	Rumo, lançamento na carta geográfica do ponto em que se está.
arrumacao	Emprego.	Pop. Emprego.
arsenal	fábricas	s.m. Nome das fábricas de armas e munições de guerra.
arsenal	Centro	Centro de construção e reparação dos navios de guerra.
arsenal	armas:	Grande quantidade de armas: a polícia descobriu um arsenal clandestino.
arsenio	ametal,	s.m. Corpo simples (símbolo As), ametal, cinzento e de brilho metálico, de número atômico 3 e massa atômica 74,9216.  A densidade do arsênio é 5,7. Aquecido, sublima-se a cerca de 450ÂºC, exalando odor de alho. Seu óxido, o anidrido arsenioso, às vezes dito arsênio branco, é muito tóxico; seu antídoto é o leite.
arte	Maneira	s.f. Maneira de fazer uma coisa segundo as regras: arte militar, oratória, dramática.
arte	Modo	Modo pelo qual se obtém êxito; habilidade: a arte de agradar, de comover.
arte	Expressão	Expressão de um ideal de beleza nas obras humanas: obra de arte.
arte	Conjunto	Conjunto das obras artísticas de um país, de uma época: a arte italiana.
artefato	Produto	s.m. Produto ou obra do trabalho mecânico.
artelho	Parte	s.m. Anatomia. Parte saliente e arredondada da tíbia e perônio, na articulação com o pé; tornozelo.
arteria	Conduto	s.f. Conduto que leva o sangue do coração aos órgãos.
arteria	Via	Fig. Via de comunicação; rua.
arteriosclerose	Doença	s.f. Doença involutiva da parede das artérias que as leva ao endurecimento. (A arteriosclerose é causa frequente de hipertensão.)
artesanato	Ofício	s.m. Ofício de artesão.
artesanato	Conjunto	Conjunto dos artesãos.
artesanato	Indústria	Indústria caseira, obra de artesão.
artesao	Trabalhador	s.m. Trabalhador manual que trabalha por sua conta, só ou com o auxílio dos membros da família e alguns companheiros.
artesao	Autor,	Fig. Autor, causa de uma coisa: foi o artesão de sua desgraça.
articulacao	fala.	s.f. Fonética. Cada uma das fases de movimento dos órgãos fonadores na produção dos sons da fala.
articulacao	Dispositivo	Anatomia. Dispositivo pelo qual dois ou vários ossos se unem entre si.
articulacao	Reunião	Mecânica. Reunião de várias peças móveis umas sobre as outras.
articulacao	Região	Zoologia. Região do tegumento dos artrópodes onde a quitina se adelgaça, permitindo o movimento dos segmentos.
artifice	Artesão	s.m. Artesão ou operário especializado em qualquer arte mecânica; operário.
artifice	Fabricante	Fabricante de artefatos.
artifice	Indivíduo	Fig. Indivíduo que inventa: Ele foi o artífice do plano
artificio	Sutileza,	s.m. Sutileza, astúcia, a fim de enganar.
artificio	químico	Fogo de artifício, preparado químico explosivo e luminoso empregado em festividades.
artigo	Divisão	s.m. Jurídico. Divisão ou subdivisão numerada que compõe um documento, uma constituição, uma lei etc: uma Constituição pode possuir muitos artigos.
artigo	Texto	Jornalismo. Texto narrativo, descritivo ou argumentativo; matéria divulgada em jornais, meios comunicativos, revistas etc: alguns jornais publicam artigos de opinião.
artigo	texto,	Num texto, o que se quer realçar, destacar.
artigo	produto	Aquilo que pode ser comercializado, produto ou mercadoria: loja de artigos de luxo, artigos para presente etc.
artigo	Termo	Gramática. Termo que, normalmente, antecede um substantivo, nome,  determinando-o ou indeterminando-o; concorda com o mesmo em gênero e número; classificam-se, por isso, em: artigos definidos ou artigos indefinidos.
artilharia	armas	s.f. Uma das armas principais dos exércitos de terra e mar, encarregada da manipulação dos projéteis e de seus meios de lançamento.
artilharia	Conjunto	Conjunto desses materiais.
artilharia	corpo	O corpo dos artilheiros.
artilharia	Meio	Fig. Meio violento de ataque ou defesa.
artilheiro	Militar	s.m. Militar pertencente à artilharia.
artimanha	Ações,	s.f. Ações, comportamentos ou maneira de se portar que pode levar alguém ao erro; maneira de enganar (alguém) para conseguir alguma coisa; estratagema.
artista	Pessoa	s.m. e s.f. Pessoa que exerce uma das belas-artes.
artista	Pessoa	Pessoa que exerce um ofício com gosto.
artista	Pessoa	Pessoa que interpreta uma obra musical, teatral, cinematográfica, coreográfica.
artista	Operário,	Pop. Operário, artífice.
artrite	Inflamação	s.f. Medicina. Inflamação situada numa articulação; inflamação das articulações.
artropode	espécime	s.m. Filo ou espécime dos artrópodes descrito pela segmentação apresentada no decorrer do copo ou pelos membros que se locomovem articuladamente.
artrose	Afecção	s.f. Afecção crônica degenerativa das articulações.
arvore	Planta	s.f. Planta lenhosa cujo caule, ou tronco, fixado no solo com raízes, é despido na base e carregado de galhos e folhas na parte superior.
arvore	Eixo	Mecânica. Eixo usado para transmitir um movimento ou para transformá-lo: árvore de cames.
arvore	quadro	Árvore genealógica, quadro que dá, sob forma de árvore com suas ramificações, a filiação dos membros de uma família.
arvoredo	Lugar	s.m. Lugar plantado de árvores; bosque.
asa	Órgão	s.f. Órgão do vôo das aves, dos morcegos e dos insetos.
asa	planos	Aeron. Cada um dos planos de sustentação do avião: asa em forma de flecha.
asa	Apêndice	Apêndice em forma de argola, ou semicircular, de certos utensílios, que serve para segurá-los: a asa da xícara.
asa	pétalas	Botânica. As duas pétalas laterais da flor das papilionáceas; apêndice sedoso de certas sementes que permite ao vento disseminá-las.
asa	partes	Asas do nariz, partes laterais das narinas.
asa	partes	Asas de um edifício, suas partes laterais.
ascarideos	nematóides	Ascarídeos sm pl (gr askarís+ídeos) Zool Família (Ascaridae) de nematóides de tamanho grande, comumente parasitas dos intestinos de vertebrados.
ascendencia	Ação	s.f. Ação de subir, ou direção para cima; ascensão.
ascendencia	Superioridade,	Superioridade, predomínio de uma pessoa sobre outra.
ascendencia	Série	Série das gerações que precederam uma geração atual.
ascensao	ação	s.f. Elevação; ação ou efeito de ascender.
ascensao	condição	Característica ou condição daquilo que está em ascendência; que se movimenta para um local mais alto, elevando-se.
ascensao	Ato	Figurado. Ato de subir de cargo; promoção.
ascensao	Festividade	Religião. Festividade cristã que celebra a elevação de Jesus Cristo.
ascensao	dia	Religião. O dia em que se realiza essa festividade.
ascensorista	Pessoa	s.m. e s.f. Pessoa encarregada de manobrar um ascensor ou elevador.
asceta	Pessoa	s.m. e s.f. Pessoa que busca se afastar dos prazeres, dedicando-se a orações, privações e flagelações.
asceta	Pessoa	Pessoa que leva uma vida regrada por buscar a perfeição espiritual.
asco	Repugnância	s.m. Repugnância natural direcionada ao que é excessivamente hediondo; nojo.
asco	Sentimento	Sentimento de aversão por tudo aquilo que é considerado repugnante; desprezo.
asco	Célula	s.m. Micologia. Botânica. Célula responsável pela reprodução (através de meiose) dos fungos ascomicetos.
aselha	Asa	s.f. Asa pequena.
aselha	asa	Pequena asa de cesto.
aselha	Presilha.	Presilha.
asfalto	Betume	s.m. Betume resinoso, negro e compacto, que serve para revestimento de calçadas, ruas, estradas etc.
asfixia	Impossibilidade	s.f. Impossibilidade de respirar que pode ser provocada por estrangulamento, afogamento, intoxicação, sendo as vias aéreas completamente obstruídas.
asfixia	Ausência	Figurado. Ausência do necessário para a prática de uma atividade; subordinação ao que anula a liberdade de algo ou de alguém: a censura asfixia a criatividade.
asilo	Lugar	s.m. Lugar onde se está em segurança: achar asilo em casa de amigos.
asilo	Refúgio,	Refúgio, abrigo.
asilo	Estabelecimento	Estabelecimento ou instituição de caridade que abriga crianças desvalidas ou idosos desamparados.
asma	Afecção	s.f. Afecção caracterizada por acessos de dispnéia, de sufocação.
asneira	ação	s.f. Bobagem; ação ou dito desprovido de sentido.
asneira	ação	Arteiro; ação de quem é apronta travessuras.
asneira	ação	Gafe; ação ou dito de quem age do modo impróprio ou diz algo sem refletir.
asneira	discurso	Besteira; discurso apimentado: não gosto daquele sujeito que só fala asneira.
asno	Mamífero.	s.m. Mamífero. Aspecto comum de alguns mamíferos da família dos equídeos; burro ou jumento.
asno	Pessoa	Figurado. Pessoa que não possui inteligência; quem não é inteligente; burro.
asno	peixe	Peixes. Tipo de peixe cuja coloração amarelada possui manchas esverdeadas ou azul-escuras; cangulo-da-parede.
aspa	instrumento	Antigo instrumento de supplício, em fórma de X ou de cruz de Santo-André.
aspa	Cruz	Cruz de pano, que se punha nos sambenitos.
aspa	Insígnia	Insígnia heráldica, em fórma de X.
aspa	traços	Comas, traços curvos, que separam de um texto as citações ou palavras dignas de nota especial.
aspargo	Aspecto	s.m. Botânica. Aspecto frequente de algumas plantas do gênero Aspargus.
aspargo	Planta	Botânica. Planta vigorosa, de caule longo, com muitas raízes, com filocládios verticais e escamas em forma de lacetas; folhas em forma de sino e bagas avermelhadas; originária e encontrada da Europa ao norte da África, nomalmente, cultivada por possuir raízes medicinais, brotos corpulentos - excessivamente, utilizados na culinária; além de apresentar propriedades diuréticas.
aspargo	planta	Botânica. Tipo de planta originária da ilha da Madeira - Portugal, e de Cabo Verde, África; Aspargus scoparius: conhecido como lassofinado.
aspecto	Aparência;	s.m. Aparência; a face exterior de algo ou alguém: aspecto físico.
aspecto	maneira	Ponto de vista; maneira de ver alguma coisa.
aspereza	Qualidade	s.f. Qualidade do que é áspero.
aspereza	Rigidez	Rigidez no gênio ou no viver.
aspersao	Ação	s.f. Ação de aspergir: batismo por aspersão.
aspersorio	Instrumento	s.m. Instrumento de aspergir; o mesmo que hissope.
aspiracao	Ação	s.f. Ação ou efeito de aspirar.
aspiracao	Vontade	Figurado. Vontade imensa de conseguir alguma coisa; sonho ou ambição: aspiração por um futuro promissor.
aspiracao	Barulho	Fonética. Barulho de fricção ocasionado pela passagem do ar pela glote (pregas vocais) que estão parcialmente abertas.
aspiracao	Mistura	Mecânica. Mistura de ar e combustível que entra no cilindro de um motor de explosão; admissão.
aspirina	Medicamento	s.f. Medicamento usado como analgésico, para suprimir a dor; como antitérmico, para diminuir a temperatura corporal e como anticoagulante, para evitar a coagulação do sangue.
aspirina	Ácido	Ácido acetilsalisílico; o que contém ou é composto por esse ácido.
assadura	Ação	s.f. Ação de assar.
assadura	Pedaço	Pedaço de carne assada ou por assar.
assadura	inflamação	Erupção, inflamação ou alergia da pele, por atrito e calor; intertrigem: o bebê está cheio de assaduras.
assalto	Ataque	s.m. Ataque para roubar; ação de atacar súbita e violentamente para roubar.
assalto	Roubo;	Figurado. Roubo; preço exagerado que se paga por algo.
assalto	Investida	P.ext. Investida que se dá contra o oponente, em alguns tipos de lutas.
assalto	ação	Assaltada; ação ou efeito de assaltar; ataque repentino.
assecla	Capanga,	Capanga, guarda-costas.
assedio	Insistência	s.m. Insistência inconveniente, persistente e duradoura em relação a alguém, perseguindo, abordando ou cercando essa pessoa.
assedio	Ação	Militar. Ação de cercar, de colocar cerco ao redor do que se quer conquistar.
assedio	Exposição	Assédio Moral. Exposição dos trabalhadores a situações constrangedoras, duradouras e repetitivas durante o exercício de um trabalho, geralmente acontece em relações em que há subordinação hierárquica.
asseio	Particularidade	Particularidade daquilo que é limpo; limpeza.
asseio	Característica	Característica ou propriedade do que é primoroso; feito com esmero ou capricho.
assembleia	Grupo	s.f. Grupo de pessoas que, possuindo um interesse em comum, se reúne para analisar, discutir e decidir sobre determinados assuntos.
assembleia	Grupo	Grupo de pessoas que, geralmente convocadas por uma imposição legal, resolve assuntos que estão sob os seus julgamentos.
assembleia	Local	Local onde as pessoas que fazem parte desses grupos de reúnem.
assembleia	planta,	Botânica. Tipo de planta, encontrada no Sul da Europa, que possui flores brancas ou rosadas, muito usada como ornamental ou terapêutica.
assentimento	Consentimento	s.m. Consentimento voluntário, aprovação.
assento	Banco,	s.m. Banco, cadeira ou aquilo utilizado para que alguém se consiga sentar.
assento	superfície	A superfície ou parte do banco ou da cadeira em que se pode sentar; apoio ou base.
assento	Lugar	Lugar que é atribuído a alguém por eleição ou nomeação: passou a ocupar o assento na Academia Brasileira de Letras.
assento	Local	Local em que se constrói ou se levanta uma edificação.
assento	Ação	Ação de registrar ou de anotar; anotação ou apontamento: assento de um casamento.
assento	tranquilidade;	Excesso de tranquilidade; sossego.
assento	Parte	P.ext. Parte da roupa que está posta à altura das nádegas; fundilhos.
assepsia	Inexistência	s.f. Inexistência de matéria infecciosa ou séptica.
assepsia	métodos	Medicina. Conjunto dos métodos capazes de proteger o organismo contra os germes patogênicos, além de impedir a proliferação de doenças.
assercao	Proposição	s.f. Proposição que se assume como verdadeira, independentemente de seu conteúdo.
assercao	Afirmação;	Afirmação; proposição que se faz com muita certeza; assertiva.
assercao	Aspecto	Linguística. Aspecto modal de uma declaração, positiva ou negativa, cuja validade e veracidade é assumida pelo locutor.
assessor	pessoa	s.m. Aquele que auxilia, exercendo atividades e/ou cargos com o intuito de ajudar alguém em suas tarefas ou funções, ou substituindo esta pessoa quando ela estiver impedida de exercer seu ofício.
assessor	especialista	Aquele que, sendo especialista em determinado assunto, ajuda uma pessoa, baseando-se na área de seu conhecimento.
assessor	pessoa	P.ext. A pessoa que ocupa o cargo de assessor e exerce as funções que a este cargo estão associadas.
assessor	Organismo	P.ext. Organismo que oferece assessoramento.
assessoria	grupo	s.f. Assessoramento; grupo de indivíduos especializados, instituição, empresa ou departamento que assessora, presta auxílio a pessoas físicas ou jurídicas.
assessoria	Órgão	Órgão ou grupo de pessoas responsáveis por assessorar, por oferecer um serviço especializado, a um chefe.
assessoria	instituição	Empresa, instituição ou entidade especializada que pesquisa e fornece dados, informações, sobre um assunto determinado.
